kaggle_activity_id,activity_date,competition_name,topic,company_id,company,country,kernels_created,notebook_votes,dataset_downloads,medal_rate,trend_score,sentiment_score,popularity_growth_pct,volatility_metric,innovation_score,adoption_score,risk_indicator,ai_summary,source_reference
KGL-990020,2025-09-15T00:00:00,Cyber Incident Detection,Generative AI,CMP-016,Midjourney,United Arab Emirates,63,814,2398,0.189,65.82,0.27,0.46,7.54,88.87,71.13,low,"Midjourney teams are discussing how generative ai is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990020
KGL-990021,2026-01-03T00:00:00,Agent Reasoning Benchmark,LLM,CMP-001,OpenAI,Germany,50,726,1987,0.197,64.21,0.438,3.26,7.75,90.18,77.21,low,"Analysts note that llm usage patterns on Jan 03, 2026 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990021
KGL-990022,2025-12-11T00:00:00,Agent Reasoning Benchmark,Generative AI,CMP-017,Stability AI,France,63,900,2342,0.175,63.99,0.025,-1.53,8.76,92.17,73.52,low,"Developers are comparing tooling choices around generative ai as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990022
KGL-990023,2025-08-01T00:00:00,GPU Cost Forecasting,MLOps,CMP-017,Stability AI,India,27,370,901,0.166,36.41,0.043,-6.89,7.06,79.12,72.21,low,"Analysts note that mlops usage patterns on Aug 01, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990023
KGL-990024,2025-12-20T00:00:00,Startup Growth Forecasting,Data Engineering,CMP-025,MongoDB,France,38,491,1513,0.161,43.4,0.364,-4.59,10.38,78.41,80.93,low,"Analysts note that data engineering usage patterns on Dec 20, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990024
KGL-990025,2026-04-10T00:00:00,Cyber Incident Detection,LLM,CMP-001,OpenAI,United Arab Emirates,48,688,1783,0.199,66.13,0.122,-1.14,5.53,82.19,78.34,low,"Developers are comparing tooling choices around llm as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990025
KGL-990026,2025-05-13T00:00:00,Agent Reasoning Benchmark,AI Agents,CMP-013,Cursor,United Arab Emirates,58,717,2175,0.243,53.55,-0.032,3.32,7.7,92.05,69.01,low,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990026
KGL-990027,2026-02-24T00:00:00,GPU Cost Forecasting,AI Agents,CMP-013,Cursor,India,59,779,2182,0.226,68.45,0.214,1.73,8.44,86.83,73.92,low,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990027
KGL-990028,2025-12-05T00:00:00,Open Model Eval,MLOps,CMP-010,Databricks,Singapore,31,471,1285,0.196,41.59,0.044,6.63,11.01,84.61,73.47,low,"Developers are comparing tooling choices around mlops as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990028
KGL-990029,2026-03-27T00:00:00,Agent Reasoning Benchmark,LLM,CMP-009,Scale AI,United Kingdom,53,717,2053,0.214,72.94,0.005,-0.59,5.36,86.44,77.1,low,"Scale AI teams are discussing how llm is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990029
KGL-990030,2025-11-20T00:00:00,Open Model Eval,AI Agents,CMP-001,OpenAI,Germany,66,935,2490,0.249,68.42,0.252,2.72,8.16,91.03,70.58,low,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990030
KGL-990031,2025-03-03T00:00:00,Cyber Incident Detection,AI Agents,CMP-002,Anthropic,Japan,28,385,1040,0.2,48.17,0.377,-0.3,6.24,92.75,69.87,low,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990031
KGL-990032,2025-12-29T00:00:00,Agent Reasoning Benchmark,LLM,CMP-017,Stability AI,United Kingdom,77,1086,2921,0.215,73.49,0.412,-0.66,5.35,86.52,76.35,low,"Analysts note that llm usage patterns on Dec 29, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990032
KGL-990033,2025-05-21T00:00:00,Cyber Incident Detection,AI Agents,CMP-001,OpenAI,Singapore,62,871,2299,0.189,60.37,0.186,-4.4,9.74,91.77,73.11,low,"OpenAI teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990033
KGL-990034,2025-03-05T00:00:00,Open Model Eval,Data Engineering,CMP-025,MongoDB,China,13,205,522,0.156,36.79,0.108,-4.19,10.32,76.82,84.39,low,"Analysts note that data engineering usage patterns on Mar 05, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990034
KGL-990035,2025-10-20T00:00:00,Agent Reasoning Benchmark,Inference Optimization,CMP-039,InferOptics,Japan,28,462,938,0.228,30.21,0.395,12.01,13.1,83.45,59.69,low,"Analysts note that inference optimization usage patterns on Oct 20, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990035
KGL-990036,2025-06-30T00:00:00,Cyber Incident Detection,Inference Optimization,CMP-018,Mistral AI,Germany,17,197,586,0.232,25.36,0.142,1.48,7.03,88.78,56.83,low,"Developers are comparing tooling choices around inference optimization as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990036
KGL-990037,2025-11-28T00:00:00,Agent Reasoning Benchmark,Generative AI,CMP-005,Meta AI,United Arab Emirates,49,781,1869,0.2,63.06,0.324,-2.77,8.51,91.88,72.59,low,"Developers are comparing tooling choices around generative ai as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990037
KGL-990038,2025-07-28T00:00:00,GPU Cost Forecasting,Open Source AI,CMP-007,Hugging Face,France,48,701,1835,0.195,47.18,0.258,11.37,15.72,88.52,64.64,low,"Developers are comparing tooling choices around open source ai as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990038
KGL-990039,2025-11-10T00:00:00,Startup Growth Forecasting,Generative AI,CMP-016,Midjourney,Singapore,59,859,2245,0.18,62.91,0.436,3.3,8.29,88.23,76.64,low,"Midjourney teams are discussing how generative ai is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990039
KGL-990040,2025-06-21T00:00:00,Open Model Eval,Open Source AI,CMP-005,Meta AI,United Arab Emirates,31,403,1153,0.189,36.35,0.404,-1.86,10.39,88.87,64.42,low,"Meta AI teams are discussing how open source ai is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990040
KGL-990041,2025-03-26T00:00:00,Open Model Eval,Open Source AI,CMP-007,Hugging Face,Japan,52,694,1882,0.218,45.78,-0.049,15.37,18.71,89.73,64.08,low,"Hugging Face teams are discussing how open source ai is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990041
KGL-990042,2026-03-23T00:00:00,Cyber Incident Detection,Generative AI,CMP-001,OpenAI,Canada,70,997,2645,0.198,65.42,0.274,1.57,7.75,90.37,74.98,low,"Developers are comparing tooling choices around generative ai as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990042
KGL-990043,2025-10-21T00:00:00,Open Model Eval,LLM,CMP-003,Google DeepMind,China,69,1004,2571,0.18,69.39,0.447,4.06,8.08,87.27,82.19,low,"Analysts note that llm usage patterns on Oct 21, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990043
KGL-990044,2026-04-07T00:00:00,Startup Growth Forecasting,Inference Optimization,CMP-039,InferOptics,Germany,31,412,1100,0.208,37.33,0.204,8.58,8.16,81.07,60.31,low,"Analysts note that inference optimization usage patterns on Apr 07, 2026 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990044
KGL-990045,2025-06-20T00:00:00,Open Model Eval,Data Engineering,CMP-010,Databricks,Canada,32,411,1350,0.212,37.78,0.154,-6.31,9.01,74.42,81.8,low,"Developers are comparing tooling choices around data engineering as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990045
KGL-990046,2026-03-29T00:00:00,Startup Growth Forecasting,Open Source AI,CMP-018,Mistral AI,United Arab Emirates,37,585,1393,0.171,48.01,0.183,-5.27,11.14,84.6,72.0,low,"Analysts note that open source ai usage patterns on Mar 29, 2026 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990046
KGL-990047,2025-03-31T00:00:00,GPU Cost Forecasting,Generative AI,CMP-001,OpenAI,China,66,998,2529,0.181,55.28,0.136,-5.61,12.38,93.21,72.17,low,"OpenAI teams are discussing how generative ai is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990047
KGL-990048,2026-04-27T00:00:00,Startup Growth Forecasting,Inference Optimization,CMP-019,CoreWeave,Japan,31,499,1175,0.24,35.42,0.182,4.28,7.46,83.76,65.34,low,"Analysts note that inference optimization usage patterns on Apr 27, 2026 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990048
KGL-990049,2026-03-10T00:00:00,Cyber Incident Detection,Inference Optimization,CMP-019,CoreWeave,Canada,37,472,1432,0.178,35.33,0.016,8.54,9.01,87.76,62.79,low,"CoreWeave teams are discussing how inference optimization is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990049
KGL-990050,2025-09-08T00:00:00,Startup Growth Forecasting,Generative AI,CMP-005,Meta AI,United States,64,860,2387,0.179,65.24,-0.132,5.52,8.41,91.57,70.94,low,"Analysts note that generative ai usage patterns on Sep 08, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990050
KGL-990051,2026-04-13T00:00:00,Agent Reasoning Benchmark,LLM,CMP-002,Anthropic,Canada,62,916,2382,0.146,69.15,0.059,5.21,10.29,90.97,81.02,low,"Anthropic teams are discussing how llm is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990051
KGL-990052,2025-12-30T00:00:00,Startup Growth Forecasting,Data Engineering,CMP-026,Confluent,France,35,450,1251,0.247,48.28,0.292,2.51,7.67,75.46,80.83,low,"Developers are comparing tooling choices around data engineering as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990052
KGL-990053,2025-05-21T00:00:00,Open Model Eval,MLOps,CMP-010,Databricks,Japan,41,586,1471,0.196,36.02,-0.012,1.03,6.04,80.55,69.36,low,"Analysts note that mlops usage patterns on May 21, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990053
KGL-990054,2025-12-26T00:00:00,Agent Reasoning Benchmark,MLOps,CMP-017,Stability AI,Canada,38,550,1468,0.18,40.17,0.317,-1.85,5.55,79.31,66.07,low,"Stability AI teams are discussing how mlops is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990054
KGL-990055,2025-07-04T00:00:00,Startup Growth Forecasting,AI Agents,CMP-015,Windsurf,France,57,824,2064,0.193,53.17,0.108,-1.33,6.86,92.76,71.24,low,"Windsurf teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990055
KGL-990056,2025-08-02T00:00:00,Agent Reasoning Benchmark,Data Engineering,CMP-026,Confluent,China,24,417,940,0.25,39.37,0.061,-2.94,10.41,75.89,80.77,low,"Confluent teams are discussing how data engineering is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990056
KGL-990057,2025-03-31T00:00:00,Open Model Eval,AI Agents,CMP-002,Anthropic,United States,56,834,2125,0.177,56.61,-0.049,10.56,14.32,94.07,67.43,low,"Analysts note that ai agents usage patterns on Mar 31, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990057
KGL-990058,2026-02-16T00:00:00,GPU Cost Forecasting,Open Source AI,CMP-007,Hugging Face,Singapore,43,642,1561,0.178,44.85,0.11,1.45,8.86,90.52,70.93,low,"Developers are comparing tooling choices around open source ai as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990058
KGL-990059,2025-10-12T00:00:00,GPU Cost Forecasting,Open Source AI,CMP-017,Stability AI,Japan,46,683,1652,0.21,54.02,0.097,-6.82,9.54,93.56,77.99,low,"Analysts note that open source ai usage patterns on Oct 12, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990059
KGL-990060,2025-05-30T00:00:00,Startup Growth Forecasting,MLOps,CMP-017,Stability AI,China,43,575,1662,0.193,41.47,0.193,5.06,10.17,80.63,71.55,low,"Stability AI teams are discussing how mlops is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990060
KGL-990061,2025-05-07T00:00:00,GPU Cost Forecasting,AI Agents,CMP-031,AgentForge,Japan,52,668,2070,0.191,53.22,0.232,-2.66,6.75,92.67,66.55,low,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990061
KGL-990062,2026-01-15T00:00:00,Open Model Eval,Open Source AI,CMP-018,Mistral AI,Canada,48,649,1897,0.224,52.74,0.509,-2.84,8.34,91.13,69.27,low,"Developers are comparing tooling choices around open source ai as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990062
KGL-990063,2025-04-15T00:00:00,GPU Cost Forecasting,Open Source AI,CMP-028,LangChain,Japan,31,439,1140,0.211,43.5,-0.062,4.75,8.59,87.96,74.3,low,"LangChain teams are discussing how open source ai is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990063
KGL-990064,2025-11-21T00:00:00,GPU Cost Forecasting,Data Engineering,CMP-010,Databricks,India,57,792,2281,0.177,51.8,0.184,-1.01,6.52,74.72,84.73,low,"Analysts note that data engineering usage patterns on Nov 21, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990064
KGL-990065,2025-10-27T00:00:00,Open Model Eval,MLOps,CMP-011,Snowflake,Germany,26,397,1044,0.174,38.95,-0.237,20.57,16.76,79.94,69.89,low,"Developers are comparing tooling choices around mlops as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990065
KGL-990066,2025-11-10T00:00:00,Agent Reasoning Benchmark,AI Agents,CMP-009,Scale AI,India,52,704,2009,0.165,68.3,0.243,3.72,8.95,93.45,75.33,low,"Scale AI teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990066
KGL-990067,2025-02-22T00:00:00,Cyber Incident Detection,Generative AI,CMP-001,OpenAI,Singapore,51,731,1903,0.256,59.68,0.188,3.94,10.29,91.34,68.2,low,"Analysts note that generative ai usage patterns on Feb 22, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990067
KGL-990068,2025-01-22T00:00:00,Agent Reasoning Benchmark,Inference Optimization,CMP-004,NVIDIA,United Arab Emirates,18,228,506,0.153,23.74,0.21,7.47,10.83,83.85,52.07,low,"NVIDIA teams are discussing how inference optimization is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990068
KGL-990069,2025-01-09T00:00:00,Cyber Incident Detection,AI Agents,CMP-015,Windsurf,Canada,45,662,1690,0.234,50.25,0.667,1.37,11.66,93.33,68.25,low,"Developers are comparing tooling choices around ai agents as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990069
KGL-990070,2025-12-12T00:00:00,Cyber Incident Detection,AI Agents,CMP-002,Anthropic,India,56,839,2212,0.229,58.67,0.066,-1.49,8.09,90.43,72.59,low,"Anthropic teams are discussing how ai agents is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990070
KGL-990071,2025-08-31T00:00:00,Cyber Incident Detection,LLM,CMP-009,Scale AI,Singapore,67,944,2611,0.141,67.85,0.227,2.62,7.15,89.97,73.63,low,"Scale AI teams are discussing how llm is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990071
KGL-990072,2025-09-13T00:00:00,Agent Reasoning Benchmark,Generative AI,CMP-003,Google DeepMind,India,54,729,2076,0.23,66.84,-0.006,-2.28,11.33,89.86,67.79,low,"Google DeepMind teams are discussing how generative ai is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990072
KGL-990073,2025-05-21T00:00:00,Startup Growth Forecasting,Data Engineering,CMP-027,HashiCorp,Canada,27,348,1013,0.15,41.14,0.018,-3.77,10.59,72.46,81.35,low,"Analysts note that data engineering usage patterns on May 21, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990073
KGL-990074,2025-11-26T00:00:00,Startup Growth Forecasting,Data Engineering,CMP-011,Snowflake,India,34,449,1187,0.183,52.43,0.332,-1.39,8.22,80.17,84.72,low,"Analysts note that data engineering usage patterns on Nov 26, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990074
