job_id,posted_at,company,role,location,salary_usd,experience_years,skills,job_description,company_id,country,region,tech_category,hiring_index,funding_signal,sentiment_score,trend_score,popularity_growth_pct,volatility_metric,innovation_score,adoption_score,risk_indicator,source_platform
JOB-100018,2025-01-17T12:00:00,OpenAI,AI Engineer,New York,170490.0,4,"FastAPI, Tool Calling, OpenAI API, RAG, LangChain","OpenAI is hiring a AI Engineer in New York to scale ai agents initiatives across enterprise and developer workflows. The team is focused on global availability while supporting internal platform teams. Candidates should be comfortable with FastAPI, Tool Calling, OpenAI API and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,70.39,1.13,0.24,58.77,-3.41,9.87,87.86,72.11,low,LinkedIn
JOB-100019,2025-01-17T10:00:00,OpenAI,Multimodal Engineer,Seattle,176557.0,4,"Prompt Engineering, Serving, Diffusion, PyTorch, Inference","OpenAI is hiring a Multimodal Engineer in Seattle to scale generative ai initiatives across enterprise and developer workflows. The team is focused on global availability while supporting internal platform teams. Candidates should be comfortable with Prompt Engineering, Serving, Diffusion and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,70.39,1.13,0.24,58.77,-3.41,9.87,87.86,72.11,low,LinkedIn
JOB-100020,2025-01-17T20:00:00,OpenAI,LLM Engineer,San Francisco,165952.0,2,"Transformers, Fine-tuning, Tokenization, PyTorch, Evaluation","OpenAI is hiring a LLM Engineer in San Francisco to scale llm initiatives across enterprise and developer workflows. The team is focused on secure deployment while supporting regional go-to-market launches. Candidates should be comfortable with Transformers, Fine-tuning, Tokenization and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,70.39,1.13,0.24,58.77,-3.41,9.87,87.86,72.11,low,LinkedIn
JOB-100021,2025-01-18T20:00:00,OpenAI,Platform Product Manager,San Francisco,146417.0,4,"Governance, Azure, Snowflake, Security, Databricks","OpenAI is hiring a Platform Product Manager in San Francisco to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting internal platform teams. Candidates should be comfortable with Governance, Azure, Snowflake and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,76.93,1.13,0.232,59.52,1.6,7.93,90.5,70.18,low,LinkedIn
JOB-100022,2025-01-20T19:00:00,OpenAI,Generative AI Product Engineer,New York,138726.0,3,"Serving, Prompt Engineering, Inference, PyTorch, Diffusion","OpenAI is hiring a Generative AI Product Engineer in New York to scale generative ai initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting open-source contributors. Candidates should be comfortable with Serving, Prompt Engineering, Inference and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,82.41,1.13,0.365,60.98,2.89,7.45,91.1,75.62,low,LinkedIn
JOB-100023,2025-01-20T17:00:00,OpenAI,AI Solutions Architect,Seattle,146368.0,2,"Governance, Security, Snowflake, Azure, Databricks","OpenAI is hiring a AI Solutions Architect in Seattle to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on secure deployment while supporting open-source contributors. Candidates should be comfortable with Governance, Security, Snowflake and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,82.41,1.13,0.365,60.98,2.89,7.45,91.1,75.62,low,LinkedIn
JOB-100024,2025-01-20T18:00:00,OpenAI,Applied Researcher,New York,198580.0,7,"PyTorch, Transformers, Fine-tuning, Evaluation, Tokenization","OpenAI is hiring a Applied Researcher in New York to scale llm initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting open-source contributors. Candidates should be comfortable with PyTorch, Transformers, Fine-tuning and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,82.41,1.13,0.365,60.98,2.89,7.45,91.1,75.62,low,LinkedIn
JOB-100025,2025-01-20T13:00:00,OpenAI,Agent Platform Engineer,Seattle,154090.0,2,"Tool Calling, RAG, Python, LangChain, FastAPI","OpenAI is hiring a Agent Platform Engineer in Seattle to scale ai agents initiatives across enterprise and developer workflows. The team is focused on global availability while supporting production customers. Candidates should be comfortable with Tool Calling, RAG, Python and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,82.41,1.13,0.365,60.98,2.89,7.45,91.1,75.62,low,LinkedIn
JOB-100026,2025-01-23T15:00:00,OpenAI,Enterprise AI Consultant,Austin,180114.0,6,"Governance, Security, Snowflake, Azure, Databricks","OpenAI is hiring a Enterprise AI Consultant in Austin to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on global availability while supporting internal platform teams. Candidates should be comfortable with Governance, Security, Snowflake and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,75.25,1.13,0.194,61.1,-1.43,8.02,90.02,72.53,low,LinkedIn
JOB-100027,2025-01-23T08:00:00,OpenAI,LLM Engineer,San Francisco,160932.0,4,"Fine-tuning, Evaluation, Tokenization, Transformers, PyTorch","OpenAI is hiring a LLM Engineer in San Francisco to scale llm initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting open-source contributors. Candidates should be comfortable with Fine-tuning, Evaluation, Tokenization and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,75.25,1.13,0.194,61.1,-1.43,8.02,90.02,72.53,low,LinkedIn
JOB-100028,2025-01-23T13:00:00,OpenAI,Enterprise AI Consultant,Austin,162326.0,6,"Security, Snowflake, Databricks, Azure, Governance","OpenAI is hiring a Enterprise AI Consultant in Austin to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting open-source contributors. Candidates should be comfortable with Security, Snowflake, Databricks and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,75.25,1.13,0.194,61.1,-1.43,8.02,90.02,72.53,low,LinkedIn
JOB-100029,2025-01-23T21:00:00,OpenAI,AI Engineer,Seattle,175155.0,7,"LangChain, RAG, FastAPI, OpenAI API, Tool Calling","OpenAI is hiring a AI Engineer in Seattle to scale ai agents initiatives across enterprise and developer workflows. The team is focused on secure deployment while supporting production customers. Candidates should be comfortable with LangChain, RAG, FastAPI and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,75.25,1.13,0.194,61.1,-1.43,8.02,90.02,72.53,low,LinkedIn
JOB-100030,2025-01-23T09:00:00,OpenAI,Multimodal Engineer,San Francisco,178952.0,7,"Diffusion, Serving, Inference, Prompt Engineering, PyTorch","OpenAI is hiring a Multimodal Engineer in San Francisco to scale generative ai initiatives across enterprise and developer workflows. The team is focused on global availability while supporting internal platform teams. Candidates should be comfortable with Diffusion, Serving, Inference and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,75.25,1.13,0.194,61.1,-1.43,8.02,90.02,72.53,low,LinkedIn
JOB-100031,2025-01-27T14:00:00,OpenAI,Model Evaluation Engineer,San Francisco,133764.0,1,"PyTorch, Evaluation, Tokenization, Fine-tuning, Transformers","OpenAI is hiring a Model Evaluation Engineer in San Francisco to scale llm initiatives across enterprise and developer workflows. The team is focused on secure deployment while supporting open-source contributors. Candidates should be comfortable with PyTorch, Evaluation, Tokenization and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,72.56,1.13,0.172,60.43,1.33,8.64,88.71,72.02,low,LinkedIn
JOB-100032,2025-01-27T14:00:00,OpenAI,Applied Researcher,New York,168263.0,7,"Evaluation, Transformers, Tokenization, Fine-tuning, PyTorch","OpenAI is hiring a Applied Researcher in New York to scale llm initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting open-source contributors. Candidates should be comfortable with Evaluation, Transformers, Tokenization and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,72.56,1.13,0.172,60.43,1.33,8.64,88.71,72.02,low,LinkedIn
JOB-100033,2025-01-27T17:00:00,OpenAI,Applied Scientist,New York,181434.0,6,"OpenAI API, RAG, FastAPI, LangChain, Tool Calling","OpenAI is hiring a Applied Scientist in New York to scale ai agents initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting internal platform teams. Candidates should be comfortable with OpenAI API, RAG, FastAPI and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,72.56,1.13,0.172,60.43,1.33,8.64,88.71,72.02,low,LinkedIn
JOB-100034,2025-01-28T11:00:00,OpenAI,Multimodal Engineer,San Francisco,165908.0,6,"Serving, Inference, Diffusion, Prompt Engineering, PyTorch","OpenAI is hiring a Multimodal Engineer in San Francisco to scale generative ai initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting internal platform teams. Candidates should be comfortable with Serving, Inference, Diffusion and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,78.03,1.13,0.254,61.42,1.6,8.25,90.81,72.04,low,LinkedIn
JOB-100035,2025-01-28T14:00:00,OpenAI,LLM Engineer,Seattle,166916.0,3,"Fine-tuning, Tokenization, Transformers, PyTorch, Evaluation","OpenAI is hiring a LLM Engineer in Seattle to scale llm initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting regional go-to-market launches. Candidates should be comfortable with Fine-tuning, Tokenization, Transformers and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,78.03,1.13,0.254,61.42,1.6,8.25,90.81,72.04,low,LinkedIn
JOB-100036,2025-01-29T12:00:00,OpenAI,Applied Scientist,Seattle,175351.0,6,"Prompt Engineering, PyTorch, Inference, Serving, Diffusion","OpenAI is hiring a Applied Scientist in Seattle to scale generative ai initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting regional go-to-market launches. Candidates should be comfortable with Prompt Engineering, PyTorch, Inference and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,87.69,1.13,0.237,62.01,0.94,8.34,91.68,74.03,low,LinkedIn
JOB-100037,2025-01-30T11:00:00,OpenAI,Agent Platform Engineer,San Francisco,142174.0,2,"LangChain, RAG, OpenAI API, Tool Calling, FastAPI","OpenAI is hiring a Agent Platform Engineer in San Francisco to scale ai agents initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting regional go-to-market launches. Candidates should be comfortable with LangChain, RAG, OpenAI API and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,71.59,1.13,0.251,60.13,-3.05,7.09,89.5,73.67,low,LinkedIn
JOB-100038,2025-01-30T10:00:00,OpenAI,Applied Researcher,San Francisco,148517.0,1,"Evaluation, PyTorch, Transformers, Fine-tuning, Tokenization","OpenAI is hiring a Applied Researcher in San Francisco to scale llm initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting production customers. Candidates should be comfortable with Evaluation, PyTorch, Transformers and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,71.59,1.13,0.251,60.13,-3.05,7.09,89.5,73.67,low,LinkedIn
JOB-100039,2025-01-31T15:00:00,OpenAI,Applied Scientist,Seattle,182757.0,9,"PyTorch, Diffusion, Prompt Engineering, Inference, Serving","OpenAI is hiring a Applied Scientist in Seattle to scale generative ai initiatives across enterprise and developer workflows. The team is focused on global availability while supporting regional go-to-market launches. Candidates should be comfortable with PyTorch, Diffusion, Prompt Engineering and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,79.16,1.13,0.198,60.41,0.41,9.17,91.33,73.06,low,LinkedIn
JOB-100040,2025-01-31T18:00:00,OpenAI,AI Engineer,New York,151502.0,4,"Tool Calling, FastAPI, LangChain, Python, RAG","OpenAI is hiring a AI Engineer in New York to scale ai agents initiatives across enterprise and developer workflows. The team is focused on global availability while supporting regional go-to-market launches. Candidates should be comfortable with Tool Calling, FastAPI, LangChain and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,79.16,1.13,0.198,60.41,0.41,9.17,91.33,73.06,low,LinkedIn
JOB-100041,2025-01-31T11:00:00,OpenAI,Agent Platform Engineer,Austin,178612.0,4,"Python, LangChain, OpenAI API, RAG, Tool Calling","OpenAI is hiring a Agent Platform Engineer in Austin to scale ai agents initiatives across enterprise and developer workflows. The team is focused on global availability while supporting production customers. Candidates should be comfortable with Python, LangChain, OpenAI API and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,79.16,1.13,0.198,60.41,0.41,9.17,91.33,73.06,low,LinkedIn
JOB-100042,2025-01-31T16:00:00,OpenAI,Applied Researcher,San Francisco,148919.0,3,"Fine-tuning, Transformers, Evaluation, Tokenization, PyTorch","OpenAI is hiring a Applied Researcher in San Francisco to scale llm initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting regional go-to-market launches. Candidates should be comfortable with Fine-tuning, Transformers, Evaluation and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,79.16,1.13,0.198,60.41,0.41,9.17,91.33,73.06,low,LinkedIn
JOB-100043,2025-02-01T12:00:00,OpenAI,Platform Product Manager,San Francisco,146410.0,2,"Databricks, Security, Governance, Snowflake, Azure","OpenAI is hiring a Platform Product Manager in San Francisco to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting open-source contributors. Candidates should be comfortable with Databricks, Security, Governance and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,72.64,1.13,0.3,57.14,-5.42,8.2,90.16,73.41,low,LinkedIn
JOB-100044,2025-02-01T17:00:00,OpenAI,AI Solutions Architect,Seattle,160255.0,6,"Governance, Databricks, Azure, Snowflake, Security","OpenAI is hiring a AI Solutions Architect in Seattle to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on global availability while supporting internal platform teams. Candidates should be comfortable with Governance, Databricks, Azure and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,72.64,1.13,0.3,57.14,-5.42,8.2,90.16,73.41,low,LinkedIn
JOB-100045,2025-02-01T16:00:00,OpenAI,AI Solutions Architect,New York,160193.0,4,"Governance, Snowflake, Databricks, Security, Azure","OpenAI is hiring a AI Solutions Architect in New York to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on global availability while supporting regional go-to-market launches. Candidates should be comfortable with Governance, Snowflake, Databricks and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,72.64,1.13,0.3,57.14,-5.42,8.2,90.16,73.41,low,LinkedIn
JOB-100046,2025-02-01T14:00:00,OpenAI,AI Engineer,Austin,180201.0,3,"Tool Calling, FastAPI, OpenAI API, LangChain, RAG","OpenAI is hiring a AI Engineer in Austin to scale ai agents initiatives across enterprise and developer workflows. The team is focused on cost-efficient inference while supporting open-source contributors. Candidates should be comfortable with Tool Calling, FastAPI, OpenAI API and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,72.64,1.13,0.3,57.14,-5.42,8.2,90.16,73.41,low,LinkedIn
JOB-100047,2025-02-01T17:00:00,OpenAI,Enterprise AI Consultant,New York,173896.0,6,"Databricks, Snowflake, Security, Governance, Azure","OpenAI is hiring a Enterprise AI Consultant in New York to scale enterprise ai initiatives across enterprise and developer workflows. The team is focused on secure deployment while supporting internal platform teams. Candidates should be comfortable with Databricks, Snowflake, Security and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Enterprise AI,72.64,1.13,0.3,57.14,-5.42,8.2,90.16,73.41,low,LinkedIn
JOB-100048,2025-02-02T14:00:00,OpenAI,Generative AI Product Engineer,San Francisco,159068.0,3,"Diffusion, Serving, Inference, Prompt Engineering, PyTorch","OpenAI is hiring a Generative AI Product Engineer in San Francisco to scale generative ai initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting internal platform teams. Candidates should be comfortable with Diffusion, Serving, Inference and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,75.96,1.13,0.144,55.51,-2.93,8.52,88.78,71.17,low,LinkedIn
JOB-100049,2025-02-05T20:00:00,OpenAI,Agent Platform Engineer,New York,158164.0,1,"LangChain, OpenAI API, RAG, Python, Tool Calling","OpenAI is hiring a Agent Platform Engineer in New York to scale ai agents initiatives across enterprise and developer workflows. The team is focused on cost-efficient inference while supporting internal platform teams. Candidates should be comfortable with LangChain, OpenAI API, RAG and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,68.36,1.13,0.202,57.49,-2.26,8.16,88.94,70.99,low,LinkedIn
JOB-100050,2025-02-06T11:00:00,OpenAI,Applied Scientist,Seattle,170363.0,2,"OpenAI API, Python, RAG, Tool Calling, LangChain","OpenAI is hiring a Applied Scientist in Seattle to scale ai agents initiatives across enterprise and developer workflows. The team is focused on cost-efficient inference while supporting internal platform teams. Candidates should be comfortable with OpenAI API, Python, RAG and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,78.14,1.13,0.284,56.52,-1.77,8.56,87.93,69.3,low,LinkedIn
JOB-100051,2025-02-06T10:00:00,OpenAI,Multimodal Engineer,New York,151149.0,3,"Inference, Prompt Engineering, Serving, PyTorch, Diffusion","OpenAI is hiring a Multimodal Engineer in New York to scale generative ai initiatives across enterprise and developer workflows. The team is focused on data platform integration while supporting open-source contributors. Candidates should be comfortable with Inference, Prompt Engineering, Serving and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,Generative AI,78.14,1.13,0.284,56.52,-1.77,8.56,87.93,69.3,low,LinkedIn
JOB-100052,2025-02-06T08:00:00,OpenAI,AI Engineer,Austin,159276.0,4,"Tool Calling, Python, RAG, OpenAI API, FastAPI","OpenAI is hiring a AI Engineer in Austin to scale ai agents initiatives across enterprise and developer workflows. The team is focused on agent reliability while supporting production customers. Candidates should be comfortable with Tool Calling, Python, RAG and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,AI Agents,78.14,1.13,0.284,56.52,-1.77,8.56,87.93,69.3,low,LinkedIn
JOB-100053,2025-02-08T15:00:00,OpenAI,Model Evaluation Engineer,San Francisco,169755.0,2,"Tokenization, Fine-tuning, Evaluation, PyTorch, Transformers","OpenAI is hiring a Model Evaluation Engineer in San Francisco to scale llm initiatives across enterprise and developer workflows. The team is focused on global availability while supporting production customers. Candidates should be comfortable with Tokenization, Fine-tuning, Evaluation and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,75.82,1.13,0.194,54.62,-3.13,8.01,87.14,73.13,low,LinkedIn
JOB-100054,2025-02-08T14:00:00,OpenAI,Model Evaluation Engineer,New York,159614.0,6,"Transformers, Fine-tuning, Tokenization, PyTorch, Evaluation","OpenAI is hiring a Model Evaluation Engineer in New York to scale llm initiatives across enterprise and developer workflows. The team is focused on cost-efficient inference while supporting open-source contributors. Candidates should be comfortable with Transformers, Fine-tuning, Tokenization and cross-functional delivery in a fast-moving market.",CMP-001,United States,North America,LLM,75.82,1.13,0.194,54.62,-3.13,8.01,87.14,73.13,low,LinkedIn
